id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1304175113030348800,1304175113030348800,1599774552000,2020-09-11,03:19:12,+0530,3676135754,troywilliamsaus,Troy Williams,,"Overall, the legislative package contains some positive outcomes for independent #HigherEducation providers, thus it is supported by @ITECAust. https://twitter.com/ITECAust/status/1304174560548282368 …",en,['itecaust'],['https://twitter.com/ITECAust/status/1304174560548282368'],[],0,0,0,['#highereducation'],[],https://twitter.com/TroyWilliamsAus/status/1304175113030348800,False,https://twitter.com/ITECAust/status/1304174560548282368,0,,,,,,,"[{'user_id': '3676135754', 'username': 'TroyWilliamsAus'}, {'user_id': '347055716', 'username': 'ITECAust'}]",,,,
1304174982600314882,1304174982600314882,1599774520000,2020-09-11,03:18:40,+0530,16306503,drphd2k7,Doug Richmond,,"#Highered, #COVID19...
#Harvard #onlinelearning fall 2020 –
Social Sciences, large lecture courses:
keeping courses engaging, interactive
—@thecrimson  https://bit.ly/3bSsWVd 
#academia #highereducation #virtuallearning #instructionaldesign #edtech",en,['thecrimson'],['https://bit.ly/3bSsWVd'],[],0,1,0,"['#highered', '#covid19', '#harvard', '#onlinelearning', '#academia', '#highereducation', '#virtuallearning', '#instructionaldesign', '#edtech']",[],https://twitter.com/drphd2k7/status/1304174982600314882,False,,0,,,,,,,"[{'user_id': '16306503', 'username': 'drphd2k7'}, {'user_id': '16626603', 'username': 'thecrimson'}]",,,,
1304174916405784578,1304174916405784578,1599774505000,2020-09-11,03:18:25,+0530,1278694496,keplerhq,Kepler,,"""..While there is 77% gross enrollment in primary school, only 31% of youth are enrolled in secondary school. At higher education level, only 3% of refugee youth are enrolled..the pandemic threatens to undo this and other crucial advances..""#Keplerscholars http://ow.ly/QCj150BnBce ",en,[],['http://ow.ly/QCj150BnBce'],[],0,0,4,['#keplerscholars'],[],https://twitter.com/KeplerHQ/status/1304174916405784578,False,,0,,,,,,,"[{'user_id': '1278694496', 'username': 'KeplerHQ'}]",,,,
1304174786944184321,1304174061761822727,1599774474000,2020-09-11,03:17:54,+0530,1165287417718329346,17gen4,Mike Cronin,,"The Future for Frontliners program, a modern-day version of the GI Bill that welcomed home veterans of World War II, would pay for the higher education of 625,000 residents that served in an array of professions that aided the state through the early months of the virus's outbre",en,['fox32news'],[],[],0,0,0,[],[],https://twitter.com/17GEN4/status/1304174786944184321,False,,0,,,,,,,"[{'user_id': '1165287417718329346', 'username': '17GEN4'}, {'user_id': '7663702', 'username': 'fox32news'}]",,,,
1304174714697515009,1304174714697515009,1599774457000,2020-09-11,03:17:37,+0530,1393910526,lilminyoon,V⁷,,Fuck school ...want to go back but it’s expensive also in my work I don’t really need to get higher education I’ll do it for funsies  https://twitter.com/yunobfs/status/1304119436958470145 …,en,[],['https://twitter.com/yunobfs/status/1304119436958470145'],[],0,0,1,[],[],https://twitter.com/lilminyoon/status/1304174714697515009,False,https://twitter.com/yunobfs/status/1304119436958470145,0,,,,,,,"[{'user_id': '1393910526', 'username': 'lilminyoon'}]",,,,
1304174660528074759,1304174660528074759,1599774444000,2020-09-11,03:17:24,+0530,216054472,rchallway,"Corey Hall, PhD",,Today’s Awkward Zoom Classes Could Bring a New Era of Higher Education  https://www.edsurge.com/news/2020-09-10-today-s-awkward-zoom-classes-could-bring-a-new-era-of-higher-education …,en,[],['https://www.edsurge.com/news/2020-09-10-today-s-awkward-zoom-classes-could-bring-a-new-era-of-higher-education'],[],0,0,0,[],[],https://twitter.com/rchallway/status/1304174660528074759,False,,0,,,,,,,"[{'user_id': '216054472', 'username': 'rchallway'}]",,,,
1304174560548282368,1304174560548282368,1599774420000,2020-09-11,03:17:00,+0530,347055716,itecaust,ITECA,,"Proposed legislative changes to the #StudentLoanTax, #HigherEducation funding and student protections have been backed by independent providers.  #Leadership #Advocacy More at:  http://www.iteca.edu.au/ITECA/Content/News/News_Archive/2020/jobready.parliament.committee.aspx … pic.twitter.com/Gbg73XjrFN",en,[],['http://www.iteca.edu.au/ITECA/Content/News/News_Archive/2020/jobready.parliament.committee.aspx'],['https://pbs.twimg.com/media/Ehlb0tqWsAA2Tov.jpg'],0,0,0,"['#studentloantax', '#highereducation', '#leadership', '#advocacy']",[],https://twitter.com/ITECAust/status/1304174560548282368,False,,0,,,,,,,"[{'user_id': '347055716', 'username': 'ITECAust'}]",,,,
1304174307510300672,1304174307510300672,1599774359000,2020-09-11,03:15:59,+0530,881966000446599169,whatstastyindt,Kimchi is good⁷🥇,,"English is mandatory, but we also have options for french, latin and spanish (mostly) in the higher education  https://twitter.com/kwansouI/status/1304134151176630277 …",en,[],['https://twitter.com/kwansouI/status/1304134151176630277'],[],0,0,0,[],[],https://twitter.com/whatstastyinDT/status/1304174307510300672,False,https://twitter.com/kwansouI/status/1304134151176630277,0,,,,,,,"[{'user_id': '881966000446599169', 'username': 'whatstastyinDT'}]",,,,
1304173868051881984,1304173868051881984,1599774255000,2020-09-11,03:14:15,+0530,327065161,justbrashaw,Dr. Benita Rashaw,,"Watching one of my higher education heroes, @DrPollard_MC , be honored for serving @montgomerycoll for 10 years!",en,"['drpollard_mc', 'montgomerycoll']",[],[],1,1,13,[],[],https://twitter.com/justbrashaw/status/1304173868051881984,False,,0,,,,,,,"[{'user_id': '327065161', 'username': 'justbrashaw'}, {'user_id': '430814310', 'username': 'DrPollard_MC'}, {'user_id': '29475822', 'username': 'montgomerycoll'}]",,,,
1304173700946833410,1304173700946833410,1599774215000,2020-09-11,03:13:35,+0530,1155936546652151808,a_martinez235,Anastasia Martinez,,"State budget cuts have rippling, inequitable effects for public higher education.",en,[],[],[],1,1,3,[],[],https://twitter.com/a_martinez235/status/1304173700946833410,False,,0,,,,,,,"[{'user_id': '1155936546652151808', 'username': 'a_martinez235'}]",,,,
